indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
123,NCT04280705,Change From Baseline in Total Bilirubin,O1:451|O2:456|O1:451|O2:456|O1:394|O2:389|O1:315|O2:288|O1:247|O2:220|O1:237|O2:254|O1:178|O2:216,O1:0.08|O2:-0.04|O1:0.58|O2:-0.03|O1:0.22|O2:0.01|O1:0.23|O2:0.07|O1:0.00|O2:0.09|O1:-0.17|O2:-0.12,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Total Bilirubin,Total Bilirubin,['Total Bilirubin'],Time Frame: Pre-SSI to Immediately Post-SSI; Pre-SSI to 3-month follow-up ,4230543,"Bilirubin, total measurement",Measurement,outcome_79
124,NCT04280705,Change From Baseline in White Blood Cell Count (WBC),O1:474|O2:475|O1:474|O2:475|O1:419|O2:405|O1:333|O2:310|O1:268|O2:230|O1:252|O2:260|O1:189|O2:226,O1:18.691|O2:-18.970|O1:9.886|O2:-28.209|O1:27.223|O2:-45.997|O1:1.967|O2:-34.702|O1:56.311|O2:-70.884|O1:-0.898|O2:0.251,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,White Blood Cell Count (WBC),WBC,['White Blood Cell Count (WBC)'],Time Frame: 0 to 24 hours post-dose ,4298431,White blood cell count,Measurement,outcome_116
125,NCT04280705,Change From Baseline in Neutrophils,O1:463|O2:459|O1:463|O2:459|O1:406|O2:389|O1:317|O2:298|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:9.429|O2:-8.093|O1:4.177|O2:-15.067|O1:17.916|O2:-28.179|O1:3.010|O2:-21.773|O1:36.024|O2:-39.988|O1:-1.269|O2:-0.840,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Neutrophils,Neutrophils,['Neutrophils'],Time Frame: Day 14 ,42596538,Toxic change in neutrophil,Condition,outcome_117
126,NCT04280705,Change From Baseline in Lymphocytes,O1:463|O2:459|O1:463|O2:459|O1:406|O2:389|O1:317|O2:299|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:5.883|O2:-7.847|O1:4.064|O2:-11.723|O1:8.006|O2:-15.455|O1:0.393|O2:-12.016|O1:14.793|O2:-23.836|O1:0.668|O2:0.743,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Lymphocytes,Lymphocytes,['Lymphocytes'],Time Frame: 29 days ,36309122,Lymphocytes,Meas Value,outcome_118
127,NCT04280705,Change From Baseline in Monocytes,O1:463|O2:458|O1:463|O2:458|O1:406|O2:388|O1:316|O2:299|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:2.448|O2:-2.940|O1:1.498|O2:-2.628|O1:2.324|O2:-3.645|O1:0.383|O2:-2.539|O1:6.475|O2:-8.738|O1:0.125|O2:0.117,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Monocytes,Monocytes,['Monocytes'],Time Frame: 5 days ,36310669,Monocytes,Meas Value,outcome_119
128,NCT04280705,Change From Baseline in Basophils,O1:455|O2:452|O1:455|O2:452|O1:394|O2:380|O1:309|O2:293|O1:253|O2:218|O1:235|O2:248|O1:176|O2:216,O1:0.020|O2:0.005|O1:0.038|O2:0.005|O1:0.196|O2:0.005|O1:0.024|O2:0.028|O1:0.158|O2:-0.058|O1:0.040|O2:0.029,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Basophils,Basophils,['Basophils'],Time Frame: From 6th to the end of 10th day ,4099772,Basophilic degeneration,Observation,outcome_84
129,NCT04280705,Change From Baseline in Eosinophils,O1:456|O2:455|O1:456|O2:455|O1:397|O2:387|O1:311|O2:293|O1:254|O2:218|O1:237|O2:251|O1:176|O2:217,O1:0.634|O2:0.016|O1:0.666|O2:-0.066|O1:0.596|O2:-0.221|O1:0.093|O2:-0.088|O1:1.992|O2:-0.420|O1:0.241|O2:0.211,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Eosinophils,Eosinophils,['Eosinophils'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",45884164,Eosinophils,Meas Value,outcome_85
130,NCT04280705,Change in National Early Warning Score (NEWS) From Baseline,O1:499|O2:502|O1:499|O2:502|O1:447|O2:438|O1:348|O2:321|O1:291|O2:254|O1:290|O2:301|O1:151|O2:120|O1:221|O2:251,O1:0.1|O2:-0.3|O1:0.3|O2:-0.4|O1:-0.3|O2:-0.5|O1:-0.3|O2:-0.5|O1:-1.4|O2:-1.7|O1:-1.4|O2:-1.7|O1:-3.2|O2:-3.3,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,National Early Warning Score (NEWS),NEWS,['National Early Warning Score (NEWS)'],Time Frame: Up to 28 days ,44808684,Royal College of Physicians NEWS (national early warning score),Measurement,outcome_86
131,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 1,O1:521|O2:541,O1:0|O2:0|O1:30|O2:24|O1:19|O2:18|O1:39|O2:43|O1:12|O2:14|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:1|O1:0|O2:0|O1:1|O2:1,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Baseline (Day 1), Day 7, Day 14 Day 21 & Day 30 ",4138597,Clinical status,Observation,outcome_120
132,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 3,O1:521|O2:541,O1:1|O2:1|O1:36|O2:28|O1:17|O2:16|O1:32|O2:37|O1:12|O2:13|O1:0.4|O2:0.2|O1:0|O2:0|O1:0|O2:0.4|O1:0|O2:0|O1:0.2|O2:2|O1:1|O2:2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 ",4138597,Clinical status,Observation,outcome_121
133,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 5,O1:521|O2:541,O1:2|O2:2|O1:37|O2:28|O1:14|O2:12|O1:26|O2:28|O1:11|O2:15|O1:1|O2:1|O1:0|O2:0.2|O1:0.2|O2:0|O1:0|O2:0|O1:7|O2:12|O1:2|O2:3,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 ",4138597,Clinical status,Observation,outcome_121
134,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 8,O1:521|O2:541,O1:7|O2:3|O1:33|O2:24|O1:9|O2:9|O1:15|O2:17|O1:10|O2:11|O1:1|O2:1|O1:0|O2:0.2|O1:0.2|O2:0|O1:0|O2:0.4|O1:22|O2:30|O1:2|O2:4,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 ",4138597,Clinical status,Observation,outcome_121
135,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 11,O1:521|O2:541,O1:8|O2:4|O1:28|O2:22|O1:7|O2:6|O1:13|O2:11|O1:6|O2:7|O1:2|O2:2|O1:0.4|O2:0.4|O1:0.2|O2:0|O1:0|O2:0|O1:33|O2:44|O1:2|O2:4,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day7, Day14, Day21 & Day 30 ",4138597,Clinical status,Observation,outcome_122
136,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 15,O1:521|O2:541,O1:11|O2:6|O1:22|O2:15|O1:4|O2:4|O1:11|O2:10|O1:6|O2:7|O1:2|O2:3|O1:17|O2:19|O1:22|O2:29|O1:0|O2:0|O1:2|O2:2|O1:3|O2:5,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day7 ,Day 14 ,Day 21, Day 30 ",4138597,Clinical status,Observation,outcome_123
137,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 22,O1:521|O2:541,O1:13|O2:9|O1:14|O2:9|O1:2|O2:2|O1:8|O2:5|O1:5|O2:6|O1:1|O2:1|O1:18|O2:19|O1:32|O2:39|O1:0|O2:0|O1:2|O2:3|O1:4|O2:6|O1:0|O2:0.2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 ",4138597,Clinical status,Observation,outcome_98
138,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 29,O1:521|O2:541,O1:15|O2:11|O1:9|O2:6|O1:2|O2:1|O1:4|O2:4|O1:3|O2:3|O1:1|O2:1|O1:19|O2:20|O1:36|O2:46|O1:0.2|O2:0|O1:3|O2:1|O1:5|O2:7|O1:3|O2:2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 and Day 30. ",4138597,Clinical status,Observation,outcome_124
139,NCT04280705,Percentage of Participants Reporting Grade 3 and 4 Clinical and/or Laboratory Adverse Events (AEs),O1:516|O2:532,O1:57|O2:51,Placebo|Remdesivir,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. ,45884383,Adverse event,Meas Value,outcome_87
140,NCT04280705,Percentage of Participants Reporting Serious Adverse Events (SAEs),O1:516|O2:532,O1:32|O2:24,Placebo|Remdesivir,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. ,4158959,Serious reportable event,Observation,outcome_88
141,NCT04280705,Percentage of Participants Discontinued or Temporarily Suspended From Investigational Therapeutics,O1:521|O2:541,O1:30|O2:41|O1:4|O2:3|O1:2|O2:2|O1:21|O2:16,Placebo|Remdesivir,Discontinued,Discontinued,"['Discontinued or Temporarily Suspended From Investigational Therapeutics', 'Discontinued']",Time Frame: Day 1 through Day 29 ,4133895|36309075,Therapeutic|Discontinue,Observation|Meas Value,outcome_94
142,NCT04280705,Duration of Hospitalization,O1:521|O2:541|O1:521|O2:541|O1:443|O2:480,O1:17|O2:12|O1:14|O2:10,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 8 ,46236995,Hospital stay duration,Observation,outcome_125
143,NCT04280705,Duration of New Non-invasive Ventilation or High Flow Oxygen Use,O1:64|O2:52|O1:64|O2:52|O1:50|O2:43,O1:4|O2:3|O1:3|O2:3,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Non-invasive Ventilation or High Flow Oxygen Use ,Oxygen,"['Oxygen', 'New Non-invasive Ventilation or High Flow Oxygen Use', 'Oxygen Use']",Time Frame: Up to 28 days ,4177224,Noninvasive ventilation,Procedure,outcome_126
144,NCT04280705,Duration of New Oxygen Use,O1:28|O2:27|O1:28|O2:27|O1:25|O2:24,O1:5.5|O2:4|O1:3|O2:3.5,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Oxygen Use ,Oxygen,"['Oxygen', 'New Oxygen Use', 'Oxygen Use']",Time Frame: 30 days after clinic discharge ,40493512,Oxygen saturation below reference range,Condition,outcome_127
145,NCT04280705,Duration of New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:82|O2:52|O1:82|O2:52|O1:57|O2:39,O1:23|O2:21.5|O1:16|O2:14,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use ,ECMO,"['Oxygen', 'ECMO', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: 10 days during inhalation ,4052536,Extracorporeal membrane oxygenation,Procedure,outcome_128
146,NCT04280705,Percentage of Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use,O1:266|O2:307,O1:24|O2:17,Placebo|Remdesivir,Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use,Oxygen,"['Oxygen', 'Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use', 'Oxygen Use']",Time Frame: 28 days after randomization ,1620907,"Hospitalized - severe disease, non-invasive ventilation or high-flow oxygen",Meas Value,outcome_129
147,NCT04280705,Percentage of Participants Requiring New Oxygen Use,O1:63|O2:75,O1:44|O2:36,Placebo|Remdesivir,Participants Requiring New Oxygen Use,Oxygen,"['Oxygen', 'New Oxygen Use', 'Participants Requiring New Oxygen Use', 'Oxygen Use']",Time Frame: 28 days after randomization ,40482644,Oxygen percentage delivered,Observation,outcome_130
148,NCT04280705,Percentage of Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:364|O2:402,O1:23|O2:13,Placebo|Remdesivir,Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,"['Oxygen', 'ECMO', 'Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: 28 days after randomization ,4052536,Extracorporeal membrane oxygenation,Procedure,outcome_131
149,NCT04280705,Mean Change in the Ordinal Scale,O1:518|O2:533,O1:0.2|O2:0.1|O1:0.1|O2:0.0|O1:0.0|O2:-0.2|O1:-0.1|O2:-0.3|O1:-1.4|O2:-1.9|O1:-1.9|O2:-2.4|O1:-2.3|O2:-2.7,Placebo|Remdesivir,Ordinal Scale ,Ordinal Scale,"['Ordinal Scale', 'Mean Change', 'ordinal scale']",Time Frame: assessed on study day 3 ,4062806,Scale,Device,outcome_132
150,NCT04280705,14-day Participant Mortality,O1:521|O2:541,O1:0.12|O2:0.07,Placebo|Remdesivir,Mortality,Death ,['Mortality'],Time Frame: Day 28 ,4249566,Mortality rate,Observation,outcome_133
151,NCT04280705,29-day Participant Mortality,O1:521|O2:541,O1:0.15|O2:0.11,Placebo|Remdesivir,Mortality,Death ,['Mortality'],Time Frame: 28 days ,4249566,Mortality rate,Observation,outcome_106
152,NCT04280705,Time to an Improvement by at Least One Category Using an Ordinal Scale,O1:521|O2:541,O1:9|O2:7,Placebo|Remdesivir,Improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days ,4062806,Scale,Device,outcome_134
153,NCT04280705,Time to an Improvement of at Least Two Categories Using an Ordinal Scale,O1:521|O2:541,O1:14|O2:11,Placebo|Remdesivir,Improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 6 days and 10 Days ,4062806,Scale,Device,outcome_135
154,NCT04280705,"Time to Discharge or to a NEWS of 2 or Less and Maintained for 24 Hours, Whichever Occurs First",O1:521|O2:541,O1:12|O2:8,Placebo|Remdesivir,Discharge,Discharge,"['discharge', 'Discharge']",Time Frame: Day 15 ,46235136,Discharge time,Observation,outcome_136
155,NCT04332081,Mortality,O1:20|O2:60,O1:10|O2:22,Hyperbaric Oxygen Therapy (HBOT)|Standard of Care,Mortality,Death ,['Mortality'],NA,4249566,Mortality rate,Observation,outcome_137
156,NCT04332081,Need for Mechanical Ventilation,O1:20|O2:60,O1:2|O2:18,Hyperbaric Oxygen Therapy (HBOT)|Standard of Care,Mechanical Ventilation,Mechanical Ventilation,"['mechanical Ventilation', 'Mechanical Ventilation']",NA,4230167,Artificial respiration,Procedure,outcome_138
157,NCT04329923,Time to Release From Quarantine Time,O1:15|O2:13,O1:8|O2:11,Cohort 1 HCQ|Cohort 1 Placebo,Release,Release,[],NA,4015846,Quarantine,Procedure,outcome_139
158,NCT04329923,Time to Hospital Discharge,O1:4|O2:3,O1:5.5|O2:4,Cohort 2 HCQ High Dose|Cohort 2 HCQ Low Dose,discharge,Discharge,"['discharge', 'Discharge', 'Hospital']",NA,4142018,Discharge to hospital,Observation,outcome_140
159,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,O1:64|O2:61,O1:4|O2:4,Cohort 3 HCQ|Cohort 3 Placebo,Infect,Infect,['Infect'],NA,3663281,Lower respiratory infection caused by SARS-CoV-2,Condition,outcome_141
160,NCT04329923,Rate of Housemate Infection,O1:17|O2:17,O1:2|O2:2,Cohort 1 HCQ|Cohort 1 Placebo,Infect,Infect,['Infect'],NA,45885195,Infection,Meas Value,outcome_142
161,NCT04329923,Rate of Hospitalization,O1:17|O2:17,O1:1|O2:0,Cohort 1 HCQ|Cohort 1 Placebo,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,45884746,Hospitalization,Meas Value,outcome_143
162,NCT04329923,Time to Release From Quarantine Time,NA,NA,NA,Release,Release,[],NA,4015846,Quarantine,Procedure,outcome_139
163,NCT04329923,Time to Hospital Discharge,NA,NA,NA,discharge,Discharge,"['discharge', 'Discharge', 'Hospital']",NA,4142018,Discharge to hospital,Observation,outcome_140
164,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,3663281,Lower respiratory infection caused by SARS-CoV-2,Condition,outcome_141
165,NCT04329923,Rate of Housemate Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,45885195,Infection,Meas Value,outcome_142
166,NCT04329923,Rate of Hospitalization,NA,NA,NA,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,45884746,Hospitalization,Meas Value,outcome_143
167,NCT04329923,Time to Release From Quarantine Time,NA,NA,NA,Release,Release,[],NA,4015846,Quarantine,Procedure,outcome_139
168,NCT04329923,Time to Hospital Discharge,NA,NA,NA,discharge,Discharge,"['discharge', 'Discharge', 'Hospital']",NA,4142018,Discharge to hospital,Observation,outcome_140
169,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,3663281,Lower respiratory infection caused by SARS-CoV-2,Condition,outcome_141
170,NCT04329923,Rate of Housemate Infection,NA,NA,NA,Infect,Infect,['Infect'],NA,45885195,Infection,Meas Value,outcome_142
171,NCT04329923,Rate of Hospitalization,NA,NA,NA,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",NA,45884746,Hospitalization,Meas Value,outcome_143
172,NCT04410159,Number of Participants With Early Viral Clearance,O1:5|O2:5|O3:5|O4:5,O1:5|O2:4|O3:1|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Viral Clearance,Viral Clearance,['Viral Clearance'],Time Frame: Pre-SSI ,4124760,Clearance,Observation,outcome_144
173,NCT04410159,Number of Participants With Negative RT-PCR Results,O1:5|O2:5|O3:5|O4:5,O1:5|O2:4|O3:2|O4:1,Povidone-iodine|Essential Oils|Tap Water|Control,RT-PCR,RT-PCR,['RT-PCR'],Time Frame: Baseline to Day 29 ,35939556,"Negative/normal, RT-PCR test",Meas Value,outcome_145
174,NCT04410159,Number of Patients That Progress to More Severe Disease,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,More Severe Disease,More Severe Disease,['More Severe Disease'],Time Frame: Day 14 ,2720509,A patient with severe systemic disease,Observation,outcome_146
175,NCT04410159,Number of Patients With Abnormal Radiological Findings,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Abnormal Radiological,Abnormal Radiological,['Abnormal Radiological'],Time Frame: Treatment period of 7 days ((Day 1 to Day 8) ,36311203,No abnormal findings,Meas Value,outcome_147
176,NCT04410159,Number of Patients With Abnormal Laboratory Findings,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Abnormal Laboratory Findings,Abnormal Laboratory Findings,['Abnormal Laboratory Findings'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) ,45882227,Laboratory finding,Meas Value,outcome_148
177,NCT04335136,All Cause-death or Invasive Mechanical Ventilation,O1:88|O2:90,O1:9|O2:12,Group A (Active) APN01|Group B (Placebo Control),Death,Death ,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Death']",NA,44790095,Invasive ventilation,Procedure,outcome_149
178,NCT04335136,Lactate Dehydrogenase (LDH) Level,O1:74|O2:74,O1:5.82|O2:5.80,Group A (Active) APN01|Group B (Placebo Control),LDH,LDH,['LDH'],NA,35918092,Serum Lactate Dehydrogenase (LDH) Lab Value,Measurement,outcome_150
179,NCT04335136,Mortality,O1:88|O2:90,O1:9|O2:7,Group A (Active) APN01|Group B (Placebo Control),Mortality,Death ,['Mortality'],NA,4249566,Mortality rate,Observation,outcome_137
180,NCT04335136,Ventilator-free Days (VFD),O1:88|O2:90|O1:88|O2:90|O1:88|O2:90|O1:80|O2:84|O1:88|O2:90|O1:88|O2:90|O1:79|O2:83,O1:17.2|O2:16.7|O1:17.4|O2:16.7|O1:18.9|O2:17.9|O1:25.7|O2:25.1|O1:26.3|O2:25.6|O1:28.2|O2:26.9,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Ventilator-free,Ventilator-free,['Ventilator-free'],NA,44786857,Days on ventilator,Measurement,outcome_151
181,NCT04335136,Time to Death,O1:88|O2:90,NA|NA,Group A (Active) APN01|Group B (Placebo Control),Death,Death ,['Death'],NA,40758416,Time of death,Observation,outcome_152
182,NCT04335136,"Number of Responders, Defined as ≥2 Improvement in World Health Organization (WHO)'s 11-Point Score System at Days 7, 10, 14 and 28",O1:88|O2:90|O1:88|O2:88|O1:86|O2:85|O1:83|O2:85|O1:79|O2:83,O1:2|O2:0|O1:17|O2:13|O1:38|O2:32|O1:72|O2:74,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Improvement,Improvement,"['improvement', 'Improvement']",NA,4308350|2719865|4077703,Improvement of status|WHO|Score,Observation|Device|Observation,outcome_153
183,NCT04335136,Time to Hospital Discharge,O1:88|O2:90,O1:14|O2:14,Group A (Active) APN01|Group B (Placebo Control),discharge,Discharge,"['discharge', 'Discharge', 'Hospital']",NA,4142018,Discharge to hospital,Observation,outcome_140
184,NCT04335136,Viral Ribonucleic Acid (RNA).,O1:88|O2:90|O1:59|O2:49|O1:47|O2:58|O1:56|O2:64|O1:65|O2:61|O1:73|O2:73|O1:37|O2:0,O1:27996|O2:3900|O1:20931|O2:13681|O1:9825|O2:11912|O1:5229|O2:2094|O1:9274|O2:53|O1:36,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Viral Ribonucleic Acid (RNA),RNA,[],NA,4101264,Ribonucleic acid,Observation,outcome_154
185,NCT04335136,Time to a 2-point Decrease in WHO's 11-Point Score System,O1:88|O2:90,O1:27|O2:27,Group A (Active) APN01|Group B (Placebo Control),WHO's 11-Point Score,WHO's 11-Point Score,[],NA,4077703,Score,Observation,outcome_155
186,NCT04335136,Number of Patients With Any Use of Invasive Mechanical Ventilation up to 28 Days or Hospital Discharge,O1:88|O2:90,O1:7|O2:7|O1:86|O2:88,Group A (Active) APN01|Group B (Placebo Control),Invasive Mechanical Ventilation/ Hospital Discharge,Mechanical Ventilation,"['discharge', 'Discharge', 'mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Hospital']",NA,44790095,Invasive ventilation,Procedure,outcome_156
187,NCT04335136,Time to First Use of Invasive Mechanical Ventilation up to 28 Days or Hospital Discharge,O1:88|O2:90,NA|NA,Group A (Active) APN01|Group B (Placebo Control),Invasive Mechanical Ventilation/ Hospital Discharge,Mechanical Ventilation,"['discharge', 'Discharge', 'mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Hospital']",NA,4230167,Artificial respiration,Procedure,outcome_138
188,NCT04335136,PaO2/FiO2 Value,O1:88|O2:90|O1:30|O2:28|O1:19|O2:24|O1:14|O2:13|O1:9|O2:11|O1:1|O2:3,O1:223.07|O2:185.14|O1:218.74|O2:192.21|O1:290.00|O2:186.62|O1:197.00|O2:185.00|O1:261.00|O2:185.00,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),PaO2/FiO2,P/F Ratio,['PaO2/FiO2'],NA,42869590,Oxygen/Gas total [Pure volume fraction] Inhaled gas,Measurement,outcome_157
189,NCT04335136,"Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)",O1:88|O2:90|O1:80|O2:80|O1:83|O2:77|O1:80|O2:77|O1:79|O2:75|O1:39|O2:38,O1:2.6|O2:2.2|O1:1.8|O2:1.6|O1:1.0|O2:1.0|O1:1.0|O2:0.9|O1:0.2|O2:0.8,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),"Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)","Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)",[],NA,36684937,Sequential organ failure assessment score,Measurement,outcome_158
